Customer_ID,Coordinates_X,Coordinates_Y,Demand,Time_Window_Start,Time_Window_End,Service_Duration,Outsource_Cost,Mandatory_External
1,45,68,10,912,967,90,26,0
2,45,70,30,825,870,90,24,0
3,42,66,10,65,146,90,24,0
4,42,68,10,727,782,90,25,0
5,42,65,10,15,67,90,23,0
6,40,69,20,621,702,90,24,0
7,40,66,20,170,225,90,23,0
8,38,68,20,255,324,90,23,0
9,38,70,10,534,605,90,24,0
10,35,66,10,357,410,90,24,0
11,35,69,10,448,505,90,24,0
12,25,85,20,652,721,90,60,1
13,22,75,30,30,92,90,25,0
14,22,85,10,567,620,90,24,0
15,20,80,40,384,429,90,26,0
16,20,85,40,475,528,90,65,1
17,18,75,20,99,148,90,24,0
18,15,75,20,179,254,90,24,0
19,15,80,10,278,345,90,24,0
20,30,50,10,10,73,90,20,0
