Parameter_Name,Value,Unit,Context_Description
max_children,4,,Maximum number of children the Zhang family can take on the trip
min_children,3,,Minimum number of children the Zhang family has decided to take
cost_harry,1200,USD,Cost of taking Harry
cost_hermione,1650,USD,Cost of taking Hermione
cost_ron,750,USD,Cost of taking Ron
cost_fred,800,USD,Cost of taking Fred
cost_george,800,USD,Cost of taking George
cost_ginny,1500,USD,Cost of taking Ginny
mandatory_ginny,1,,Ginny is the youngest and will definitely join the trip
harry_no_fred,1,,If Harry is taken, Fred cannot be taken
harry_no_george,1,,If Harry is taken, George cannot be taken
george_requires_fred,1,,If George is taken, Fred must also be taken
george_requires_hermione,1,,If George is taken, Hermione must also be taken
