Parameter_Name,Value,Unit,Context_Description
product_units,1800,units,Total units of product to be transported
truck_pollution,100,units,Pollution generated per trip by a truck
van_pollution,50,units,Pollution generated per trip by a van
motorcycle_pollution,10,units,Pollution generated per trip by a motorcycle
electric_vehicle_pollution,0,units,Pollution generated per trip by an electric vehicle
max_total_pollution,2000,units,Maximum allowable total pollution from all trips
min_truck_trips,10,trips,Minimum number of trips required using trucks
truck_capacity,100,units,Transport capacity per trip for a truck
van_capacity,80,units,Transport capacity per trip for a van
motorcycle_capacity,40,units,Transport capacity per trip for a motorcycle
electric_vehicle_capacity,60,units,Transport capacity per trip for an electric vehicle
