Month,Product,Market_Demand_Units
January,Product_I,10000
February,Product_I,10000
March,Product_I,10000
April,Product_I,10000
May,Product_I,30000
June,Product_I,30000
July,Product_I,30000
August,Product_I,30000
September,Product_I,30000
October,Product_I,100000
November,Product_I,100000
December,Product_I,100000
January,Product_II,50000
February,Product_II,50000
March,Product_II,15000
April,Product_II,15000
May,Product_II,15000
June,Product_II,15000
July,Product_II,15000
August,Product_II,15000
September,Product_II,15000
October,Product_II,50000
November,Product_II,50000
December,Product_II,50000
