paper_model,artifact_model,archive,archive_bytes,archive_sha256,build_rows,build_passed,build_code_files,revise_code_rows,revise_code_passed,revise_code_files,revise_release_mode,explain_rows,explain_answer_files,explain_stored_mean,explain_table2_mean
gemini-3.1-pro,gemini-3.1-pro-preview,models/gemini-3.1-pro.zip,1986295,d9a255b5e50914a6a1ca6cf0bcba00c91db1435b0834b36074493a492a097a7e,100,72,100,100,87,100,first_run_and_conditional_repeat_conservative,100,100,73.13,73.00
gemini-3-flash,gemini-3-flash-preview,models/gemini-3-flash.zip,1561709,c52fa0a8718ebfd745303dc7a627c194fe2aa6a7fe6e67100bb93e546a8ae0be,100,68,100,100,82,100,canonical_plus_infrastructure_recovery,100,100,69.39,69.39
claude-opus-4-6,claude-opus-4-6,models/claude-opus-4-6.zip,2805503,46e3f6d3abca180a896de4accd0f90943fc9ecae2cd2ab7e1406a62a428c4256,100,62,100,100,87,100,two_run_conservative,100,100,80.19,80.20
gpt-5.4,gpt-5.4,models/gpt-5.4.zip,2028105,6ce32faf0d397df60ba623ea8cc9e614781cb0f6d70ed8928b6a880295f1bd29,100,59,100,100,85,100,restored_historical_first_call,100,100,86.56,86.52
claude-sonnet-4.5,claude-sonnet-4.5,models/claude-sonnet-4.5.zip,2579267,e9bcd446f033dfa547dcec1f9428a4d63a149e2b2047bc71e54fee3205c55b53,100,53,100,100,82,100,first_run_and_conditional_repeat_conservative,100,100,79.63,77.58
gpt-5.1,gpt-5.1,models/gpt-5.1.zip,2086468,0dcde4e093301588abb6d657e62d1f74d327101193f3b75c36b72ebac67947ad,100,53,100,100,81,100,restored_historical_first_call,100,100,74.20,76.16
gemini-2.5-flash,gemini-2.5-flash,models/gemini-2.5-flash.zip,1543418,691ef28fb5709cbb217855c062af60f65cce8861657cf454d3283395ab947188,100,53,100,100,71,100,restored_historical_first_call,100,100,23.47,23.47
gemini-2.5-pro,gemini-2.5-pro,models/gemini-2.5-pro.zip,1900711,6748a84adcba8705854657e5f4df1ba730d3654d7095fd7289517f3d51f89acb,100,47,100,100,81,100,restored_historical_first_call,100,100,77.02,77.02
gpt-4o,openai_gpt-4o,models/gpt-4o.zip,1484653,db1fcd45f0f639af7ec35aae368b172b97872bdbaa7d28da333b53b223f5d8da,100,25,100,100,36,100,restored_historical_first_call,100,100,59.11,59.36
deepseek-v4-pro,deepseek-v4-pro,models/deepseek-v4-pro.zip,2733805,e3f1065bda7c8a0b9a387ebb337c470828beefb7d5407b7c7f37ed1f0e3f93c7,100,67,100,100,80,100,restored_historical_first_call,100,100,69.04,68.87
deepseek-r1-0528,deepseek-ai_DeepSeek-R1-0528,models/deepseek-r1-0528.zip,1370831,fd659f6e2b4d0a35095c40dc9cf30fbd4323e5bdde9dde918f0f019b1d285124,100,55,99,100,65,92,restored_historical_first_call,100,100,58.82,58.82
deepseek-v4-flash,deepseek-v4-flash,models/deepseek-v4-flash.zip,1778161,af9f9917a50ab15726c1f77cb338aab675139b58049bf98b4d82de477c7dcaab,100,54,100,100,70,100,restored_historical_first_call,100,100,77.95,77.77
qwen3-max,Qwen_Qwen3-Max,models/qwen3-max.zip,2059420,bb39ec7c131ea1e3ad49c3500cbc823bb5e83a13372999b1231a4e07d6ef9bee,100,49,100,100,68,100,restored_historical_first_call,100,100,75.12,74.66
qwen3-32b,Qwen_Qwen3-32B,models/qwen3-32b.zip,1651517,4efe4dd08350cafa844fe569c047acf79829cfdd0a453144f96bc5a385ee2db7,100,32,100,100,32,100,restored_historical_first_call,100,100,61.25,61.32
qwen3-32b-thinking,Qwen_Qwen3-32B-Thinking,models/qwen3-32b-thinking.zip,1671640,67b3567f8a85c4d182a427f2e5a361141985978ccf6fc23bc0752301c915a6b5,100,28,100,100,32,100,restored_historical_first_call,100,100,61.16,61.28
qwen3.5-27b,qwen3.5-27b,models/qwen3.5-27b.zip,3577947,849bda3297415847cbb32dab0269f94a5e3715a9806c9c4197d281434b9d7c9c,100,38,100,100,48,90,restored_historical_first_call,100,100,82.85,77.88
qwen3-8b,qwen3-8b,models/qwen3-8b.zip,1675444,f485923f1df9eee70ddecdf9b07ff0aefea72a6eb4b56bca7bac82362c6feaf1,100,22,96,100,12,100,restored_historical_first_call,100,100,55.19,55.19
qwen3-14b,qwen3-14b,models/qwen3-14b.zip,1700988,0c45e8543e42d9600d570034ef8456a7b95b4307c6a16073b523dbcce8c9cbf1,100,20,96,100,19,100,restored_historical_first_call,100,100,61.24,61.03
