workspace_id,task_type,instance_number,instance_id,reference_objective,relative_tolerance
or_space_001_build,build,1,IndustryOR_1,219816.0,0.01
or_space_002_build,build,2,IndustryOR_2,125.0,0.01
or_space_003_build,build,3,IndustryOR_3,10349920.0,0.01
or_space_004_build,build,4,IndustryOR_4,30400.0,0.01
or_space_005_build,build,5,IndustryOR_5,18.6943,0.01
or_space_006_build,build,6,IndustryOR_6,10755.0,0.01
or_space_007_build,build,7,IndustryOR_7,904590.0,0.01
or_space_008_build,build,8,IndustryOR_8,14.0,0.01
or_space_009_build,build,9,IndustryOR_9,623.0,0.01
or_space_010_build,build,10,IndustryOR_10,3.0,0.01
or_space_011_build,build,11,IndustryOR_11,3867.0,0.01
or_space_012_build,build,12,IndustryOR_12,43200.0,0.01
or_space_013_build,build,13,IndustryOR_13,180000.0,0.01
or_space_014_build,build,14,IndustryOR_14,123.8,0.01
or_space_015_build,build,15,IndustryOR_15,168.0,0.01
or_space_016_build,build,16,IndustryOR_16,4100.0,0.01
or_space_017_build,build,17,IndustryOR_17,0.5765,0.01
or_space_018_build,build,18,IndustryOR_18,5.0,0.01
or_space_019_build,build,19,IndustryOR_19,4000.0,0.01
or_space_020_build,build,20,IndustryOR_20,956.0,0.01
or_space_021_build,build,21,IndustryOR_21,15000.0,0.01
or_space_022_build,build,22,IndustryOR_22,156483.0,0.01
or_space_023_build,build,23,IndustryOR_23,21500.0,0.01
or_space_024_build,build,24,IndustryOR_24,1000.0,0.01
or_space_025_build,build,25,IndustryOR_25,510000.0,0.01
or_space_026_build,build,26,IndustryOR_26,53.0,0.01
or_space_027_build,build,27,IndustryOR_27,1146.4142,0.01
or_space_028_build,build,28,IndustryOR_28,580000.0,0.01
or_space_029_build,build,29,IndustryOR_29,2000.0,0.01
or_space_030_build,build,30,IndustryOR_30,32.43589743589744,0.01
or_space_031_build,build,31,IndustryOR_31,1190.41,0.01
or_space_032_build,build,32,IndustryOR_32,2924.0,0.01
or_space_033_build,build,33,IndustryOR_33,1000.0,0.01
or_space_034_build,build,34,IndustryOR_34,7.0,0.01
or_space_035_build,build,35,IndustryOR_35,14.1,0.01
or_space_036_build,build,36,IndustryOR_36,175.37,0.01
or_space_037_build,build,37,IndustryOR_37,11250.0,0.01
or_space_038_build,build,38,IndustryOR_38,14.0,0.01
or_space_039_build,build,39,IndustryOR_39,600.0,0.01
or_space_040_build,build,40,IndustryOR_40,33288066.626,0.01
or_space_041_build,build,41,IndustryOR_41,964640.0,0.01
or_space_042_build,build,42,IndustryOR_42,150.0,0.01
or_space_043_build,build,43,IndustryOR_43,6800.0,0.01
or_space_044_build,build,44,IndustryOR_44,685.0,0.01
or_space_045_build,build,45,IndustryOR_45,700.0,0.01
or_space_046_build,build,46,IndustryOR_46,715.7,0.01
or_space_047_build,build,47,IndustryOR_47,20241.615384615387,0.01
or_space_048_build,build,48,IndustryOR_48,11250.0,0.01
or_space_049_build,build,49,IndustryOR_49,208000.0,0.01
or_space_050_build,build,50,IndustryOR_50,9100.0,0.01
or_space_051_build,build,51,IndustryOR_51,4240.0,0.01
or_space_052_build,build,52,IndustryOR_52,150.0,0.01
or_space_053_build,build,53,IndustryOR_53,3050.0,0.01
or_space_054_build,build,54,IndustryOR_54,135.26666666666668,0.01
or_space_055_build,build,55,IndustryOR_55,4.0,0.01
or_space_056_build,build,56,IndustryOR_56,-700.0,0.01
or_space_057_build,build,57,IndustryOR_57,600.0,0.01
or_space_058_build,build,58,IndustryOR_58,240000.0,0.01
