model,category,passed,total,pass_at_1_percent
gemini-3.1-pro,closed,87,100,87
gemini-3-flash,closed,82,100,82
claude-opus-4-6,closed,87,100,87
gpt-5.4,closed,85,100,85
claude-sonnet-4.5,closed,82,100,82
gpt-5.1,closed,81,100,81
gemini-2.5-flash,closed,71,100,71
gemini-2.5-pro,closed,81,100,81
gpt-4o,closed,36,100,36
deepseek-v4-pro,open,80,100,80
deepseek-r1-0528,open,65,100,65
deepseek-v4-flash,open,70,100,70
qwen3-max,open,68,100,68
qwen3-32b,open,32,100,32
qwen3-32b-thinking,open,32,100,32
qwen3.5-27b,open,48,100,48
qwen3-8b,open,12,100,12
qwen3-14b,open,19,100,19

