instance_id,benchmark_instance_id,revise_instance_id,difficulty,revise_type,revise_type_name,tolerance,workspace_sha256
1,IndustryOR_1,IndustryOR_1_revise_business,Medium,R1,Mutual Exclusion Constraint,0.01,923284cbbef6c2bf35b9c021b3b054a3b6b4a94eba945f967bba9853cc8e4760
2,IndustryOR_2,IndustryOR_2_revise_business,Hard,R5,Scenario Restructuring,0.01,4bf07cdabdaed09eb8029f5d5d467a6fba9109c6e605faf0ad9b5c04d8ae63d6
3,IndustryOR_3,IndustryOR_3_revise_business,Hard,R5,Scenario Restructuring,0.01,55242789879999fe1f5ce987ab2dece31402183f4bf2a858ac124a8466061216
4,IndustryOR_4,IndustryOR_4_revise_business,Hard,R5,Scenario Restructuring,0.01,0cbb23ff686fbb9e853c5653c7058895eceab0cb2889ad0b44c604c63329c82d
5,IndustryOR_5,IndustryOR_5_revise_business,Hard,R5,Scenario Restructuring,0.01,e142a7d53a5f42693c50b103e55cc0f0ddc6dbdd8d1e8956a59cdb9a044d0303
6,IndustryOR_6,IndustryOR_6_revise_business,Hard,R5,Scenario Restructuring,0.01,d1a677d77fe0d70e02629cdc6692ef154f58b932ebca03a52beb01f836af1e14
7,IndustryOR_7,IndustryOR_7_revise_business,Medium,R5,Objective Function Transformation,0.01,45deff233b1715523a88f93c8660c74c62c64cf9b1217434274a34e75558d635
8,IndustryOR_8,IndustryOR_8_revise_business,Medium,R4,Scenario Restructuring,0.01,9f20c1620867655a5b126b68dad41c2f5a46a7beba83b84f718fdcf8a442df2b
9,IndustryOR_9,IndustryOR_9_revise_business,Hard,R5,Scenario Restructuring,0.01,0058830e88d5d723d7b673be669ce23994fdc7cf5e9a79d47f90ab7b13070d5c
10,IndustryOR_10,IndustryOR_10_revise_business,Hard,R3,Constraint Modification,0.01,057f5821e74104a4aa0d0f389b5f73e419cad33d8441babf7cce2db970bdb69c
11,IndustryOR_11,IndustryOR_11_revise_business,Hard,R5,Scenario Restructuring,0.01,b52add5f858e3d33d40d176350a3321bb633a7378265946211f4af3880b9abd4
12,IndustryOR_12,IndustryOR_12_revise_business,Hard,R5,Scenario Restructuring,0.01,f79b9a894674ca3316764852ca52143542625d4e04ff0c6c04e8a09c2ca0e6fc
13,IndustryOR_13,IndustryOR_13_revise_business,Medium,R1,Mutual Exclusion Constraint,0.01,fcc484f6d54ce6380a998e72702c3e894a9adf2161cff083d0564575ec7a1148
14,IndustryOR_14,IndustryOR_14_revise,Hard,R5,Scenario Restructuring,0.01,68b03df7a660c64d79277e3b01e6f503a2f9a3d141365c6d45b2bbea0796eb47
15,IndustryOR_15,IndustryOR_15_revise_business,Hard,R5,Scenario Restructuring,0.01,07298085c340443b30d7cfc9f14ced7ee6b26b1185a0c18865a1a28ee55b4724
16,IndustryOR_16,IndustryOR_16_revise_business,Easy,R4,Penalty / Fixed Cost Addition,0.01,b6059ae90b8e8fa960fdbe01ac07f54e754e79abdf92d9e7917774c86acdc06e
17,IndustryOR_17,IndustryOR_17_revise_business,Hard,R5,Scenario Restructuring,0.01,9df8bc06d63bbd7d6e653c4b26bb066c4e4907fa7a40bdd24fff401f2fe23b8d
18,IndustryOR_18,IndustryOR_18_revise_business,Hard,R5,Scenario Restructuring,0.01,d426b7d306b6047a1081ff6c52471de5b21e9ea50380e0e2c5d528b818cd0a76
19,IndustryOR_19,IndustryOR_19_revise_business,Hard,R5,Scenario Restructuring,0.01,45d68409e7c93e8b4be1cccbca2d3861e55cb4ceeba6d3a0753d8ae405474a0e
20,IndustryOR_20,IndustryOR_20_revise_business,Easy,R1,Mutual Exclusion Constraint,0.01,73f1b07ff744513880231d5815d2671f95dbd52159e90c85fcc0e5d279352a46
21,IndustryOR_21,IndustryOR_21_revise_business,Easy,R4,Penalty / Fixed Cost Addition,0.01,d0665718fb9c17ad1dc34699679b98e5bf160fb45a14782134aed03ad8509e20
22,IndustryOR_22,IndustryOR_22_revise_business,Medium,R5,Scenario Restructuring,0.01,e3ef15e12d2a35552fc89cf7468c03058f6e3b0561325d922fa3eb578e919a56
23,IndustryOR_23,IndustryOR_23_revise_business,Hard,R5,Scenario Restructuring,0.01,2729672cb17c2761ab5449baeb397bbc5929f4ccceea119da4726acf90a7d96c
24,IndustryOR_24,IndustryOR_24_revise_business,Hard,R5,Scenario Restructuring,0.01,328077b4c84abf5dde28904ceb464bb28baf97ef3d01d211d27490d9765cdf8d
25,IndustryOR_25,IndustryOR_25_revise_business,L5,R5,Scenario Restructuring,0.01,98b2f595522c71fa4c02e45cf16e07784a36ed2aca493e3886fa32ae7aecf187
26,IndustryOR_26,IndustryOR_26_revise_business,Hard,R5,Scenario Restructuring,0.01,4af5a671f44949cf87b74d25321c38db72245c81787d62d84151e30e7badd3ff
27,IndustryOR_27,IndustryOR_27_revise_business,Hard,R3,Constraint Modification,0.01,85f3c8a73cf5ebdaa6e653968b9ecdafae3f11b078a4c4307ce09e35e9c48ea0
