paper_model,artifact_model,instance_id,benchmark_instance_id,workspace_sha256,attempt_1_status,attempt_1_passed,attempt_1_extracted_value,attempt_1_row_sha256,attempt_1_artifact_sha256,attempt_1_source,attempt_2_status,attempt_2_passed,attempt_2_extracted_value,attempt_2_row_sha256,attempt_2_artifact_sha256,attempt_2_source,attempt_2_policy,pass_at_1,pass_both_at_2,conditional_resample_status,conditional_resample_passed,conditional_resample_temperature,conditional_resample_row_sha256,conditional_resample_artifact_sha256,conditional_resample_source,evidence_status,note
gemini-3.1-pro,gemini-3.1-pro-preview,1,IndustryOR_1,923284cbbef6c2bf35b9c021b3b054a3b6b4a94eba945f967bba9853cc8e4760,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,2,IndustryOR_2,4bf07cdabdaed09eb8029f5d5d467a6fba9109c6e605faf0ad9b5c04d8ae63d6,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,3,IndustryOR_3,55242789879999fe1f5ce987ab2dece31402183f4bf2a858ac124a8466061216,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,4,IndustryOR_4,0cbb23ff686fbb9e853c5653c7058895eceab0cb2889ad0b44c604c63329c82d,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,5,IndustryOR_5,e142a7d53a5f42693c50b103e55cc0f0ddc6dbdd8d1e8956a59cdb9a044d0303,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,6,IndustryOR_6,d1a677d77fe0d70e02629cdc6692ef154f58b932ebca03a52beb01f836af1e14,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,7,IndustryOR_7,45deff233b1715523a88f93c8660c74c62c64cf9b1217434274a34e75558d635,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,8,IndustryOR_8,9f20c1620867655a5b126b68dad41c2f5a46a7beba83b84f718fdcf8a442df2b,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,9,IndustryOR_9,0058830e88d5d723d7b673be669ce23994fdc7cf5e9a79d47f90ab7b13070d5c,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,10,IndustryOR_10,057f5821e74104a4aa0d0f389b5f73e419cad33d8441babf7cce2db970bdb69c,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,11,IndustryOR_11,b52add5f858e3d33d40d176350a3321bb633a7378265946211f4af3880b9abd4,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,12,IndustryOR_12,f79b9a894674ca3316764852ca52143542625d4e04ff0c6c04e8a09c2ca0e6fc,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,13,IndustryOR_13,fcc484f6d54ce6380a998e72702c3e894a9adf2161cff083d0564575ec7a1148,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,14,IndustryOR_14,68b03df7a660c64d79277e3b01e6f503a2f9a3d141365c6d45b2bbea0796eb47,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,15,IndustryOR_15,07298085c340443b30d7cfc9f14ced7ee6b26b1185a0c18865a1a28ee55b4724,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,16,IndustryOR_16,b6059ae90b8e8fa960fdbe01ac07f54e754e79abdf92d9e7917774c86acdc06e,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,17,IndustryOR_17,9df8bc06d63bbd7d6e653c4b26bb066c4e4907fa7a40bdd24fff401f2fe23b8d,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,18,IndustryOR_18,d426b7d306b6047a1081ff6c52471de5b21e9ea50380e0e2c5d528b818cd0a76,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,19,IndustryOR_19,45d68409e7c93e8b4be1cccbca2d3861e55cb4ceeba6d3a0753d8ae405474a0e,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,20,IndustryOR_20,73f1b07ff744513880231d5815d2671f95dbd52159e90c85fcc0e5d279352a46,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,21,IndustryOR_21,d0665718fb9c17ad1dc34699679b98e5bf160fb45a14782134aed03ad8509e20,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,22,IndustryOR_22,e3ef15e12d2a35552fc89cf7468c03058f6e3b0561325d922fa3eb578e919a56,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,23,IndustryOR_23,2729672cb17c2761ab5449baeb397bbc5929f4ccceea119da4726acf90a7d96c,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,24,IndustryOR_24,328077b4c84abf5dde28904ceb464bb28baf97ef3d01d211d27490d9765cdf8d,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,25,IndustryOR_25,98b2f595522c71fa4c02e45cf16e07784a36ed2aca493e3886fa32ae7aecf187,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,26,IndustryOR_26,4af5a671f44949cf87b74d25321c38db72245c81787d62d84151e30e7badd3ff,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,27,IndustryOR_27,85f3c8a73cf5ebdaa6e653968b9ecdafae3f11b078a4c4307ce09e35e9c48ea0,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,28,IndustryOR_28,fb3f0cc3738c72f285ab0c66e41b380ff668557861e7a2e5ffa2f9be34dc8272,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,29,IndustryOR_29,47f75a7cfb85a6b2ac9455b3e4a4183fe73ead244e1322579f0178adf61c08bd,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,30,IndustryOR_30,02c7e91d5dc1b5750ccd08762900822f53216df565057794ff03ac9971e7dee7,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,31,IndustryOR_31,eab7a71599b375fe155628ee96e15b935f01c19132a650d59ebbeca2ea23674d,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,32,IndustryOR_32,78b687b9bbef1f18b96b68748a2768575587e6a60cec183ed3c58986b51c5e5c,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,33,IndustryOR_33,960068e39d829df3bec3a2e211a52bba5a54c6917d1e065d849893d666409bbb,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,34,IndustryOR_34,f484fd8e5485b88a00fde9a9aa86c078a436074f9a9aebc11994cbbde835a028,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
gemini-3.1-pro,gemini-3.1-pro-preview,35,IndustryOR_35,792a310e8ada6e7863220293637f5a8646d9a612e5293cd76220bf941424dcff,,,,,,,,,,,,,,,,,,,,,,missing,Per-instance result artifacts are not available in this checkout.
